Bairro,Numero de quartos,Metros quadrados,Vagas de Garagem,Numero de Banheiros,Preço
Residencial José B Almeida,3,151,2,2,450000
Ernani Moura Lima,2,60,1,1,250000
Gleba Ribeirão Limeiro,2,48,1,1,320000
Bandeirantes,3,110,2,2,680000
São Vicente,3,152,2,3,500000
Brasília,2,48,1,1,160000
Jardim Morumbi,2,63,1,1,350000
Jardim Morumbi,2,46,1,1,111212
Centro,1,40,1,1,190000
Vila Casoni,2,60,1,1,305000
Residencial Santa Clara,3,114,4,2,930000
Alpes,3,130,2,2,380000
Terra Bonita,4,190,3,3,720000
Vera Cruz,3,125,2,1,375000
San Remo,3,73,1,1,340000
Gleba Fazenda Palhano,3,108,2,3,1240000
Armindo Guazzi,3,130,4,3,580000
Loteamento Chamonix,3,80,1,2,435000
Jardim Presidente,3,71,1,2,570000
Jardim dos Estados,2,52,1,1,280000
Cafezal,4,157,3,2,550000
Ouro Verde,2,47,1,1,170000
Parque Jamaica,2,49,1,2,351990
Brasília,3,166,2,3,850000
Centro,3,160,4,5,1490000
Jardim Moema,3,125,1,1,315000
Gleba Fazenda Palhano,2,86,2,2,890000
Vila Ipiranga,3,126,2,3,399000
Jardim das Américas,3,90,1,2,460000
Conjunto Habitacional José Garcia Molina,2,45,1,1,150000
Gleba Fazenda Palhano,3,137,2,4,1380000
Leonor,2,131,4,1,460000
Califórnia,3,97,3,3,389000
Gleba Fazenda Palhano,3,110,3,3,1100000
Brasília,4,260,4,4,890000
Chácaras Pietraróia,1,63,1,1,180000
Centro,3,148,2,4,1260000
Gleba Fazenda Palhano,3,62,1,2,722450
Colinas,3,76,2,1,325000
Brasília,2,170,2,2,380000
Jardim Montecatini,2,74,1,2,280000
Jardim Morumbi,2,46,1,1,320000
Jardim Burle Marx,3,137,2,3,790000
Conjunto Habitacional Santiago II,4,80,2,2,480000
Vila Adolfo,5,270,5,1,880000
Jardim Montecatini,3,92,1,1,365000
Gleba Fazenda Palhano,3,103,2,1,995000
Gleba Fazenda Palhano,2,45,1,1,269000
Guanabara Parque Boulevard,3,104,2,3,1100000
Gleba Fazenda Palhano,2,46,1,1,325000
Conjunto Habitacional Alexandre Urbanas,4,238,2,4,1800000
Jardim das Américas,3,82,1,2,407000
Paraíso,2,45,1,1,170000
Cidade Industrial 2,2,45,1,1,159000
Vivendas do Arvoredo,3,178,2,4,2990000
Jardim União da Vitória II,2,85,1,1,120000
Gleba Fazenda Palhano,3,111,2,3,1310000
Jardim Continental,3,180,2,2,590000
Centro,3,147,2,3,800000
Conjunto Farid Libos,2,62,1,1,265000
Rodocentro,3,200,4,3,1200000
Aurora,3,69,1,2,500000
Brasília,2,284,2,1,300000
Gleba Fazenda Palhano,2,122,2,3,1500000
Recanto do Salto,4,380,4,4,3970000
Santa Rosa,1,274,4,5,4000000
Terras de Santana II,4,316,4,5,2500000
Centro,3,133,1,3,580000
Leonor,3,310,4,2,390000
Industrial,3,120,4,2,290000
Centro,4,159,2,1,695000
Parque Jamaica,3,66,1,2,330000
Gleba Simon Frazer,3,256,4,4,1800000
Jardim Aliança,3,100,1,1,250000
Nossa Senhora de Lourdes,3,110,1,2,320000
Centro,3,89,1,2,390000
Gleba Simon Frazer,3,150,2,4,999000
Colúmbia,3,110,2,3,510000
Vale dos Tucanos,3,64,1,1,180000
Centro,3,107,1,1,550000
Centro,2,160,2,2,730000
Jardim Anaterra,3,270,4,2,250000
Gleba Fazenda Palhano,2,46,1,1,270000
Santa Rosa,3,245,4,4,2700000
Gleba Fazenda Palhano,3,68,1,2,450000
Bela Suiça,4,419,4,5,5700000
Centro,3,110,1,3,520000
Gleba Fazenda Palhano,2,114,2,3,1375000
Brasília,2,43,1,1,110000
Jardim Shangri-la A,3,400,5,4,1385000
Centro,3,70,2,2,610000
Conjunto Habitacional José Garcia Molina,2,51,1,1,165000
São Vicente,3,65,1,2,469000
Gleba Fazenda Palhano,2,89,3,3,850000
Centro,3,77,1,2,270000
Brasília,3,63,1,1,210000
Santa Rosa,2,77,1,2,760000
Conjunto Habitacional Maria Cecília Serrano de Oliveira,2,70,1,1,190000
Centro,3,148,2,5,1390000
Jardim Agari,3,137,2,3,800000
Jardim Presidente,2,71,1,2,570000
Gleba Fazenda Palhano,2,47,1,1,250000
Brasília,3,177,2,2,897000
Newton Guimarães,3,85,3,1,240000
Vila Brasil,2,54,1,2,339000
Gleba Fazenda Palhano,3,240,3,5,2900000
Vila Larsen 1,1,58,1,2,550000
Terra Bonita,2,79,1,2,735000
Centro,3,128,2,4,890000
Centro,2,62,1,1,255000
Terra Bonita,3,73,1,2,430000
Gleba Fazenda Palhano,3,83,2,2,785000
Parque Jamaica,2,61,1,2,470000
Granville Parque Residencial,4,260,4,5,1499440
Centro,3,92,1,4,455000
Jardim Alvorada,3,280,2,1,720000
Centro,4,405,2,5,1600000
Parque Jamaica,2,48,1,1,170000
Esperança,4,400,3,5,3600000
Brasília,3,130,2,4,1600000
Vale dos Tucanos,2,49,1,1,275000
Jardim Presidente,3,71,1,2,639000
Califórnia,3,130,2,2,380000
Guanabara,4,383,4,5,6950000
Vila Ipiranga,2,64,1,2,420000
Santa Rosa,2,77,1,2,850000
Jardim Londrilar,3,205,3,5,2100000
Centro,3,128,3,2,1400000
Gleba Fazenda Palhano,3,93,2,2,859000
Santos Dumont,3,276,4,4,1150000
Monte Belo,2,85,5,1,330000
Veraliz,3,70,1,2,450000
Parque Jamaica,3,67,1,2,350000
Gleba Fazenda Palhano,2,112,2,3,1180000
Gleba Fazenda Palhano,3,216,4,4,2500000
Jardim América,2,56,1,2,279000
Bela Suiça,2,69,2,2,565000
Cidade Industrial 2,2,51,1,1,180000
Brasília,3,110,1,2,297000
Heimtal,3,80,2,1,215000
Brasília,3,130,2,2,460000
Santa Rosa,4,122,2,3,1190000
Jardim Higienópolis,4,217,3,3,1190000
Recanto do Salto,4,369,2,5,3950000
Centro,3,90,2,2,445000
Kennedy,1,36,1,1,190000
Jardim Ilha do Mel,3,140,2,2,380000
Jardim Nações Unidas,2,46,1,1,190000
Antares,3,75,1,1,242040
Santa Rosa,3,86,2,1,920000
Industrial,3,59,1,1,260000
Bela Suiça,4,419,4,5,5350000
Gleba Fazenda Palhano,3,124,3,2,1350000
Gleba Fazenda Palhano,4,346,4,5,4680000
Brasília,3,79,1,2,490000
Coroados,3,188,2,3,950000
Amaro,3,67,1,2,250000
Gleba Fazenda Palhano,2,44,1,1,260000
Gleba Fazenda Palhano,3,87,1,2,860000
Parque Residencial Joaquim Toledo Piza,2,47,1,1,175000
Parque Residencial Joaquim Toledo Piza,3,130,2,2,695000
Centro,3,88,2,1,820000
Messiânico,3,88,2,2,569000
Santa Mônica,3,204,4,3,715000
Conjunto Habitacional Alexandre Urbanas,3,81,2,2,409620
Brasília,3,81,2,2,435000
Vila Matarazzo,3,176,2,4,490000
Esperança,5,580,5,5,3000000
Jardim Tarumã,3,150,2,3,590000
Jardim Monte Sinai,3,119,2,2,420000
Centro,3,130,2,2,472000
Gleba Fazenda Palhano,2,54,1,1,425000
Jardim Pequena Londres,3,75,2,2,275000
São Vicente,2,50,1,1,269000
Gleba Fazenda Palhano,3,95,2,2,910000
Jardim Albatroz,3,182,2,2,500000
Santa Rosa,3,85,2,2,848000
Gleba Fazenda Palhano,3,216,4,5,2500000
Jardim Continental,3,155,2,2,420000
Gleba Simon Frazer,4,238,2,3,1800000
Helena,3,200,4,4,650000
Gleba Fazenda Palhano,4,285,4,5,3100000
Gleba Ribeirão Limeiro,2,46,2,1,255000
São Vicente,2,58,1,2,280000
Terra Bonita,4,200,4,4,1600000
Gleba Fazenda Palhano,3,103,3,3,980000
Jardim Aliança,2,185,1,1,89000
Brasília,2,68,1,2,390000
Parque Residencial Porto Serguro 2,2,95,2,1,200000
Jardim Neman Sahyun,3,180,2,2,350000
Jardim Maria Luiza,2,45,1,1,160000
João Paz,2,170,2,1,170000
Gleba Ribeirão Limeiro,2,48,1,1,210000
Centro,3,122,1,1,420000
Judith,3,179,2,4,1100000
Alto da Colina,1,26,1,1,132500
Brasília,3,71,1,2,549000
Santa Rosa,3,114,2,3,1303000
Aurora,3,69,1,2,500000
Brasília,1,35,1,1,170000
Jardim Maria Luiza,2,124,2,2,345000
Brasília,3,140,2,1,360000
Gleba Simon Frazer,3,79,1,2,450000
